datetime,total
11-07-2019 15:35,23800
11-07-2019 16:10,15800
12-07-2019 11:49,58000
13-07-2019 13:19,14800
13-07-2019 13:22,15600
13-07-2019 14:54,15800
13-07-2019 15:08,15800
13-07-2019 15:09,14000
13-07-2019 15:23,19100
13-07-2019 16:32,22300
14-07-2019 11:08,15300
14-07-2019 11:15,27600
14-07-2019 11:44,26300
14-07-2019 11:59,19800
14-07-2019 12:59,18300
14-07-2019 13:05,15600
14-07-2019 14:06,23600
14-07-2019 14:41,20100
14-07-2019 14:51,25600
14-07-2019 15:02,19800
15-07-2019 11:45,15100
15-07-2019 16:21,15800
17-07-2019 11:47,17800
17-07-2019 13:23,14800
17-07-2019 14:16,23400
17-07-2019 16:32,18100
19-07-2019 11:43,14800
19-07-2019 12:11,15800
19-07-2019 12:36,21800
19-07-2019 12:44,20600
19-07-2019 13:35,14800
19-07-2019 13:50,15100
19-07-2019 14:12,58000
19-07-2019 15:33,35900
20-07-2019 11:19,15800
20-07-2019 11:35,18800
20-07-2019 11:40,22800
20-07-2019 11:44,16400
20-07-2019 12:08,15800
20-07-2019 12:13,26300
20-07-2019 12:31,14800
20-07-2019 12:55,15800
20-07-2019 13:19,20500
20-07-2019 13:44,18600
20-07-2019 13:56,17800
21-07-2019 11:07,18600
21-07-2019 11:42,17300
21-07-2019 12:12,17800
21-07-2019 12:25,14800
21-07-2019 12:29,16100
21-07-2019 12:47,21000
21-07-2019 13:37,19300
21-07-2019 13:45,22300
21-07-2019 14:05,18300
21-07-2019 14:53,15300
21-07-2019 15:21,15100
22-07-2019 11:38,15600
22-07-2019 12:16,19300
22-07-2019 12:24,18300
22-07-2019 12:41,18300
22-07-2019 13:28,16600
22-07-2019 13:44,14800
22-07-2019 14:47,26000
22-07-2019 15:37,19600
22-07-2019 16:54,18600
24-07-2019 11:29,16400
24-07-2019 11:56,27100
24-07-2019 13:24,18800
24-07-2019 14:25,25400
24-07-2019 14:28,26300
24-07-2019 15:36,16100
24-07-2019 15:40,16100
24-07-2019 16:02,16400
24-07-2019 17:20,15000
25-07-2019 11:49,18600
25-07-2019 11:57,26800
25-07-2019 12:01,35000
25-07-2019 12:35,38000
25-07-2019 13:01,23100
25-07-2019 13:05,17300
25-07-2019 13:40,19600
25-07-2019 13:42,15300
25-07-2019 14:12,16100
25-07-2019 15:09,14300
25-07-2019 15:57,15100
25-07-2019 16:03,20000
26-07-2019 11:26,25300
26-07-2019 11:23,73200
26-07-2019 11:31,22800
26-07-2019 11:36,1293000
26-07-2019 11:37,15000
26-07-2019 11:55,20800
26-07-2019 13:19,25900
26-07-2019 13:24,28100
26-07-2019 14:05,15800
26-07-2019 14:24,35000
26-07-2019 14:52,22100
26-07-2019 14:56,16100
27-07-2019 11:29,18800
27-07-2019 11:57,21800
27-07-2019 12:00,18600
27-07-2019 12:07,33200
27-07-2019 12:20,22800
27-07-2019 12:26,17000
27-07-2019 12:43,16400
27-07-2019 13:50,14800
27-07-2019 14:05,32600
28-07-2019 11:17,17300
28-07-2019 12:10,14800
28-07-2019 12:21,14800
28-07-2019 12:47,14300
28-07-2019 12:48,14800
28-07-2019 13:13,25600
28-07-2019 13:14,19500
29-07-2019 11:08,24800
29-07-2019 11:12,24100
28-07-2019 11:14,15800
29-07-2019 11:39,14800
29-07-2019 12:02,14800
29-07-2019 12:15,18300
29-07-2019 12:22,27900
29-07-2019 12:54,15800
29-07-2019 13:25,18100
29-07-2019 13:36,28000
29-07-2019 13:53,28000
31-07-2019 11:09,15600
31-07-2019 11:25,30100
31-07-2019 11:38,23300
31-07-2019 11:44,30200
31-07-2019 12:48,15100
31-07-2019 13:18,27300
31-07-2019 13:19,15300
31-07-2019 13:29,16100
31-07-2019 13:54,15100
31-07-2019 13:58,15800
01-08-2019 11:03,14500
01-08-2019 11:17,13100
01-08-2019 11:25,16100
01-08-2019 11:50,14800
01-08-2019 12:02,21100
01-08-2019 12:15,20600
01-08-2019 12:24,32600
01-08-2019 12:38,14500
01-08-2019 13:37,15100
01-08-2019 13:39,15000
01-08-2019 14:17,14800
01-08-2019 14:56,23000
02-08-2019 11:03,19900
02-08-2019 11:04,14100
02-08-2019 11:06,18000
02-08-2019 11:19,16400
02-08-2019 11:31,17300
02-08-2019 11:57,30800
02-08-2019 12:21,15800
02-08-2019 12:31,19900
02-08-2019 12:51,15800
03-08-2019 11:02,26000
03-08-2019 11:03,26100
03-08-2019 11:03,16000
03-08-2019 11:05,29100
03-08-2019 11:06,16800
03-08-2019 11:08,22800
03-08-2019 11:20,16600
03-08-2019 11:53,18800
03-08-2019 12:06,16400
03-08-2019 12:44,19300
03-08-2019 13:06,16400
03-08-2019 13:18,18300
03-08-2019 13:20,16300
03-08-2019 13:42,15800
03-08-2019 15:07,17900
03-08-2019 15:53,16400
04-08-2019 11:02,34800
04-08-2019 11:04,31600
04-08-2019 11:07,16400
04-08-2019 11:07,19300
04-08-2019 11:41,24300
04-08-2019 11:52,22100
04-08-2019 12:27,14800
04-08-2019 12:30,19500
04-08-2019 12:35,20600
04-08-2019 12:39,17800
05-08-2019 11:11,16300
05-08-2019 11:16,23100
05-08-2019 11:18,31400
05-08-2019 11:32,17000
05-08-2019 11:59,22300
05-08-2019 12:14,26600
05-08-2019 12:14,14800
05-08-2019 12:42,19600
05-08-2019 12:49,49300
05-08-2019 13:54,19800
05-08-2019 14:25,20800
05-08-2019 14:53,16300
07-08-2019 11:03,16300
07-08-2019 11:10,21200
07-08-2019 12:17,15300
07-08-2019 12:20,27300
07-08-2019 12:28,16100
07-08-2019 13:28,17600
07-08-2019 13:33,19500
07-08-2019 13:59,14800
07-08-2019 14:05,15000
07-08-2019 14:06,14100
07-08-2019 14:50,23800
08-08-2019 11:07,16100
08-08-2019 11:09,16400
08-08-2019 11:22,20300
08-08-2019 12:03,16500
08-08-2019 12:13,15100
08-08-2019 12:39,15300
08-08-2019 12:56,16000
08-08-2019 13:22,15800
08-08-2019 13:26,17300
08-08-2019 13:36,33200
08-08-2019 13:55,22300
08-08-2019 13:57,32400
08-08-2019 14:11,16100
08-08-2019 14:52,17000
08-08-2019 14:58,20500
09-08-2019 11:34,17000
09-08-2019 12:31,18600
09-08-2019 15:22,26000
09-08-2019 15:22,35800
09-08-2019 15:30,15100
10-08-2019 11:01,19600
10-08-2019 11:02,15300
10-08-2019 11:03,19100
10-08-2019 11:05,28600
10-08-2019 11:09,17300
10-08-2019 11:27,36800
10-08-2019 11:38,25300
10-08-2019 12:17,46200
10-08-2019 13:09,30200
10-08-2019 13:15,16600
10-08-2019 13:22,21200
10-08-2019 13:31,24400
11-08-2019 11:01,21800
11-08-2019 11:02,16800
11-08-2019 11:03,16000
11-08-2019 11:08,22800
11-08-2019 11:08,17800
11-08-2019 11:37,15800
11-08-2019 11:40,38900
11-08-2019 11:46,19600
11-08-2019 11:50,15300
11-08-2019 11:58,27900
11-08-2019 12:58,15800
11-08-2019 13:14,19300
11-08-2019 13:21,23100
11-08-2019 13:27,17300
12-08-2019 11:05,28400
12-08-2019 11:08,20800
12-08-2019 11:48,16300
12-08-2019 12:39,24300
12-08-2019 12:41,15800
12-08-2019 12:48,14800
12-08-2019 12:53,16300
12-08-2019 13:27,18300
12-08-2019 13:56,19100
12-08-2019 14:08,32100
12-08-2019 15:01,26000
14-08-2019 11:03,41200
14-08-2019 11:03,17800
14-08-2019 11:04,18300
14-08-2019 11:07,17300
14-08-2019 11:16,65600
14-08-2019 11:22,29000
14-08-2019 11:25,27300
14-08-2019 11:31,22300
14-08-2019 11:41,14300
14-08-2019 12:15,16400
15-08-2019 11:03,24100
15-08-2019 11:06,17300
15-08-2019 11:15,16100
15-08-2019 11:23,22100
15-08-2019 11:49,15100
15-08-2019 11:50,58000
15-08-2019 11:53,15000
15-08-2019 12:00,18900
15-08-2019 12:18,16400
16-08-2019 11:05,14800
16-08-2019 11:54,17800
16-08-2019 11:54,15100
16-08-2019 12:07,14100
16-08-2019 12:49,18300
16-08-2019 13:27,15800
17-08-2019 11:01,20100
17-08-2019 11:03,18300
17-08-2019 11:17,24100
17-08-2019 11:30,24300
17-08-2019 12:29,14800
17-08-2019 12:40,18800
17-08-2019 12:57,29600
17-08-2019 13:02,19800
17-08-2019 13:19,20300
17-08-2019 13:38,32600
17-08-2019 14:07,19000
18-08-2019 11:01,17300
18-08-2019 11:06,36900
18-08-2019 11:09,26600
18-08-2019 11:09,22800
18-08-2019 11:23,17800
18-08-2019 11:27,14100
18-08-2019 12:04,20000
18-08-2019 12:22,15000
18-08-2019 12:24,16000
18-08-2019 12:50,23800
18-08-2019 13:06,14300
18-08-2019 13:29,14800
18-08-2019 13:30,36100
18-08-2019 14:39,23000
18-08-2019 12:40,16300
19-08-2019 11:29,22800
19-08-2019 11:59,16800
19-08-2019 12:08,21300
19-08-2019 12:10,19300
19-08-2019 12:21,15800
19-08-2019 12:34,23600
19-08-2019 13:06,19300
19-08-2019 13:24,14800
19-08-2019 13:53,24300
19-08-2019 14:16,23800
19-08-2019 14:20,15300
19-08-2019 15:14,15300
19-08-2019 15:27,21600
19-08-2019 15:30,18800
21-08-2019 11:02,19900
21-08-2019 11:04,18800
21-08-2019 11:07,15300
21-08-2019 11:28,54000
21-08-2019 12:13,18300
21-08-2019 12:19,16100
21-08-2019 12:29,19300
21-08-2019 12:51,17500
21-08-2019 13:01,15800
21-08-2019 13:15,17000
21-08-2019 13:26,15600
21-08-2019 13:43,21100
21-08-2019 14:11,25000
21-08-2019 14:38,23000
22-08-2019 11:48,14800
22-08-2019 12:08,23300
22-08-2019 12:12,15800
22-08-2019 12:55,16400
22-08-2019 13:07,26600
22-08-2019 13:49,23400
22-08-2019 14:17,20600
22-08-2019 14:35,15800
22-08-2019 15:24,26000
23-08-2019 11:28,42200
23-08-2019 11:53,57700
23-08-2019 12:42,14100
23-08-2019 12:47,19800
23-08-2019 15:32,22000
24-08-2019 11:06,16000
24-08-2019 11:09,20100
24-08-2019 11:13,25600
24-08-2019 11:14,23100
24-08-2019 11:14,17300
24-08-2019 11:18,24900
24-08-2019 11:19,17300
24-08-2019 11:42,14300
24-08-2019 11:51,15600
24-08-2019 11:55,20800
24-08-2019 12:28,15800
24-08-2019 12:56,23300
24-08-2019 13:07,14800
24-08-2019 14:13,15300
25-08-2019 11:02,16400
25-08-2019 11:04,15300
25-08-2019 11:06,17300
25-08-2019 11:18,15300
25-08-2019 11:53,15300
25-08-2019 12:02,15800
25-08-2019 12:05,22100
25-08-2019 12:05,14100
25-08-2019 12:23,25300
25-08-2019 12:43,17400
25-08-2019 12:48,15100
25-08-2019 13:13,15600
26-08-2019 11:16,17800
26-08-2019 11:17,19900
26-08-2019 11:30,18000
26-08-2019 11:49,15500
26-08-2019 12:05,14800
26-08-2019 14:25,15300
26-08-2019 15:48,21600
26-08-2019 16:06,14000
26-08-2019 16:11,22800
28-08-2019 11:19,16300
28-08-2019 11:30,34100
28-08-2019 12:20,30400
28-08-2019 12:24,18000
28-08-2019 12:46,18600
28-08-2019 13:42,14800
28-08-2019 13:57,33400
28-08-2019 14:05,19300
29-08-2019 11:04,22300
29-08-2019 12:25,18300
29-08-2019 12:35,16100
29-08-2019 13:12,24000
29-08-2019 13:28,53800
29-08-2019 14:01,30800
29-08-2019 14:31,15500
29-08-2019 15:08,15000
29-08-2019 16:15,19000
29-08-2019 16:45,24300
29-08-2019 16:46,15100
30-08-2019 11:10,16400
30-08-2019 11:16,14800
